id,Date,items
17,02-09-2015,"""chocolate"",""sausage"",""abrasive cleaner"",""candy"",""frankfurter"",""sausage"",""bottled beer"",""pastry"",""citrus fruit"",""yogurt"",""whole milk"",""whole milk"",""other vegetables"",""margarine"",""frozen vegetables"",""shopping bags"",""rolls/buns"",""long life bakery product"",""other vegetables"",""canned vegetables"",""UHT-milk"""
18,03-08-2015,"""specialty bar"",""sausage"",""yogurt"",""whipped/sour cream"",""napkins"",""bottled beer"",""other vegetables"",""sparkling wine"",""bottled beer"",""chocolate"""
19,07-07-2015,"""other vegetables"",""fruit/vegetable juice"",""sugar"",""soda"",""ham"",""tropical fruit"",""sausage"",""photo/film"",""cat food"",""seasonal products"",""seasonal products"",""sausage"",""other vegetables"",""onions"",""whole milk"",""butter"",""domestic eggs"",""cream cheese "",""butter"",""soups"",""candy"",""chewing gum"",""shopping bags"",""seasonal products"",""cream cheese "",""yogurt"""
20,08-09-2015,"""butter milk"",""frankfurter"",""sausage"",""root vegetables"",""meat"",""sausage"",""root vegetables"",""curd"",""pip fruit"",""citrus fruit"",""butter"",""soda"",""frozen meals"",""frozen meals"",""whipped/sour cream"",""salty snack"",""long life bakery product"""
21,12-11-2015,"""whole milk"",""chicken"",""butter"",""turkey"",""bottled water"",""soft cheese"",""other vegetables"",""chicken"",""bottled water"",""shopping bags"",""other vegetables"",""citrus fruit"",""canned beer"",""salty snack"",""canned vegetables"""
22,18-09-2015,"""tropical fruit"",""sausage"",""pork"",""hamburger meat"",""rolls/buns"",""white bread"",""coffee"",""sauces"",""yogurt"",""sliced cheese"",""butter"",""rolls/buns"",""coffee"",""whipped/sour cream"""
23,30-11-2015,"""tropical fruit"",""whole milk"",""yogurt"",""meat"",""other vegetables"",""hard cheese"",""berries"",""domestic eggs"",""baking powder"""
24,17-07-2015,"""bottled water"",""misc. beverages"",""frankfurter"",""tropical fruit"",""pastry"",""liquor"",""specialty chocolate"""
25,12-06-2015,"""yogurt"",""tropical fruit"",""packaged fruit/vegetables"",""chicken"",""soda"",""rolls/buns"",""tropical fruit"",""liquor"",""root vegetables"",""herbs"",""chewing gum"",""domestic eggs"",""cream cheese "",""salty snack"",""soda"",""yogurt"""
26,13-02-2015,"""sausage"",""chicken"",""domestic eggs"",""curd"",""cake bar"",""pastry"",""whipped/sour cream"""
27,14-01-2015,"""other vegetables"",""curd"",""canned beer"",""salty snack"",""domestic eggs"",""syrup"",""rolls/buns"",""hygiene articles"",""newspapers"",""cat food"",""oil"""
28,08-03-2015,"""brown bread"",""other vegetables"",""other vegetables"",""whole milk"",""meat"",""spread cheese"",""citrus fruit"",""photo/film"",""butter"",""canned beer"",""rolls/buns"",""yogurt"",""fruit/vegetable juice"""
29,27-01-2015,"""yogurt"",""rolls/buns"",""fruit/vegetable juice"",""spices"",""canned fish"""
30,22-10-2015,"""hamburger meat"",""bottled beer"",""cling film/bags"",""sausage"",""rolls/buns"",""beef"",""other vegetables"",""other vegetables"",""bottled beer"",""curd"",""whipped/sour cream"",""yogurt"",""chewing gum"",""whole milk"",""rice"",""UHT-milk"",""other vegetables"",""specialty fat"",""chocolate"",""coffee"",""kitchen towels"""
31,26-10-2015,"""root vegetables"",""berries"",""frankfurter"",""pork"",""citrus fruit"",""pork"",""pastry"",""pork"",""waffles"",""other vegetables"",""herbs"",""pastry"",""yogurt"",""pork"",""canned vegetables"",""syrup"",""cat food"",""specialty cheese"",""fruit/vegetable juice"",""herbs"",""long life bakery product"""
32,08-10-2015,"""pork"",""curd"",""chicken"",""pickled vegetables"",""other vegetables"",""liquor (appetizer)"",""curd"",""onions"",""hard cheese"""
33,03-10-2015,"""beef"",""citrus fruit"",""sausage"",""napkins"",""semi-finished bread"",""other vegetables"",""brown bread"""
34,11-04-2015,"""pastry"",""bottled water"",""sugar"",""chicken"",""sausage"",""dishes"",""whole milk"",""whole milk"",""whole milk"",""bottled beer"",""shopping bags"",""canned beer"""
35,21-02-2015,"""canned beer"",""pip fruit"",""canned beer"",""shopping bags"",""frozen vegetables"",""dessert"",""long life bakery product"",""dessert"",""dish cleaner"",""candy"",""processed cheese"",""canned vegetables"""
36,29-09-2015,"""root vegetables"",""frankfurter"",""whipped/sour cream"",""meat"",""specialty bar"",""packaged fruit/vegetables"",""misc. beverages"",""other vegetables"",""hygiene articles"""
37,09-01-2015,"""citrus fruit"",""whole milk"",""frankfurter"",""ham"",""pip fruit"",""soft cheese"",""red/blush wine"",""soda"",""whole milk"",""rolls/buns"",""other vegetables"",""brown bread"",""canned fish"",""salty snack"",""specialty chocolate"",""whipped/sour cream"",""yogurt"""
38,03-04-2015,"""sausage"",""dessert"",""ice cream"",""cream cheese "",""butter"",""meat"",""specialty bar"",""newspapers"",""bottled beer"",""rolls/buns"",""soda"",""yogurt"",""frozen meals"",""bottled water"",""whipped/sour cream"",""brown bread"",""whipped/sour cream"""
39,20-04-2015,"""tropical fruit"",""tropical fruit"",""pork"",""UHT-milk"",""bottled beer"",""cream cheese "",""beverages"",""UHT-milk"",""rice"",""newspapers"",""seasonal products"",""newspapers"",""butter milk"",""bottled water"""
40,04-08-2015,"""berries"",""frankfurter"",""ham"",""pork"",""vinegar"",""margarine"",""specialty cheese"",""whole milk"",""yogurt"",""other vegetables"",""frozen vegetables"",""butter"",""UHT-milk"",""brown bread"",""newspapers"",""domestic eggs"",""brown bread"""
41,19-07-2015,"""canned beer"",""other vegetables"",""citrus fruit"",""rolls/buns"",""butter"",""root vegetables"",""hygiene articles"",""rolls/buns"",""dessert"",""condensed milk"",""fruit/vegetable juice"",""bottled water"",""seasonal products"",""margarine"",""baking powder"",""fruit/vegetable juice"",""skin care"",""hygiene articles"",""fruit/vegetable juice"""
42,06-10-2015,"""butter milk"",""canned beer"",""root vegetables"",""yogurt"",""semi-finished bread"",""rolls/buns"",""margarine"""
43,16-10-2015,"""coffee"",""whole milk"",""berries"",""margarine"",""soda"",""napkins"",""domestic eggs"",""cat food"",""other vegetables"",""grapes"",""whole milk"",""cream cheese "",""other vegetables"",""UHT-milk"",""specialty chocolate"",""soda"",""whole milk"",""margarine"",""whole milk"",""pastry"",""other vegetables"",""bottled water"",""pastry"",""meat spreads"",""domestic eggs"",""cat food"",""pickled vegetables"""
44,06-06-2015,"""pastry"",""meat"",""citrus fruit"",""soda"",""other vegetables"",""condensed milk"",""UHT-milk"",""tropical fruit"",""rice"",""other vegetables"",""brown bread"",""newspapers"",""specialty bar"",""tropical fruit"",""white bread"",""sugar"",""chocolate marshmallow"""
45,26-09-2015,"""rolls/buns"",""liver loaf"",""margarine"",""chicken"",""other vegetables"",""citrus fruit"",""whipped/sour cream"",""newspapers"",""bottled water"",""canned beer"",""candy"",""soda"",""baking powder"",""white wine"""
46,15-08-2015,"""misc. beverages"",""tropical fruit"",""root vegetables"",""dish cleaner"",""rolls/buns"",""sausage"",""pip fruit"",""frozen vegetables"",""other vegetables"",""kitchen towels"",""soda"",""beverages"",""butter"",""other vegetables"",""condensed milk"""
47,21-05-2015,"""root vegetables"",""canned beer"",""frozen fish"",""pork"",""brown bread"",""soda"",""bottled water"",""coffee"",""coffee"",""pastry"",""long life bakery product"",""canned beer"",""pastry"""
48,25-08-2015,"""sausage"",""whole milk"",""root vegetables"",""berries"",""other vegetables"",""semi-finished bread"",""shopping bags"",""bottled beer"",""yogurt"""
49,11-03-2015,"""canned beer"",""pastry"",""bottled water"",""canned beer"",""chicken"",""root vegetables"",""meat"",""whole milk"",""soda"",""other vegetables"",""domestic eggs"",""cat food"",""whole milk"",""butter milk"",""newspapers"""
50,01-02-2015,"""ham"",""chewing gum"",""sausage"",""whole milk"",""chicken"",""meat"",""pasta"",""condensed milk"",""other vegetables"",""beverages"",""hygiene articles"",""other vegetables"",""UHT-milk"",""pot plants"",""liquor"",""frozen dessert"",""whipped/sour cream"",""sugar"",""pip fruit"""
51,05-06-2015,"""turkey"",""citrus fruit"",""whole milk"",""root vegetables"",""whole milk"",""sugar"",""frozen meals"",""yogurt"",""cat food"",""soda"",""canned beer"",""processed cheese"",""other vegetables"",""spread cheese"",""canned fish"""
52,28-07-2015,"""whole milk"",""tropical fruit"",""soda"",""whipped/sour cream"",""beef"",""beverages"",""root vegetables"",""Instant food products"",""fruit/vegetable juice"",""hard cheese"",""chocolate"",""dessert"",""bottled beer"",""margarine"""
53,05-09-2015,"""whole milk"",""root vegetables"",""chicken"",""root vegetables"",""specialty chocolate"",""sausage"",""sausage"",""frozen vegetables"",""whole milk"",""frozen vegetables"",""canned beer"",""curd cheese"",""snack products"",""frozen fish"",""chocolate"""
54,03-04-2015,"""packaged fruit/vegetables"",""cereals"",""ice cream"",""chewing gum"",""beef"",""ham"",""frozen vegetables"",""yogurt"",""condensed milk"",""canned beer"",""soda"""
55,19-06-2015,"""rolls/buns"",""onions"",""root vegetables"",""beef"",""bottled beer"",""hamburger meat"",""yogurt"",""liquor"",""pickled vegetables"""
56,28-07-2015,"""ham"",""chicken"",""other vegetables"",""rolls/buns"",""citrus fruit"",""canned beer"",""other vegetables"",""cream cheese "",""flour"",""other vegetables"",""napkins"""
57,11-10-2015,"""rolls/buns"",""canned vegetables"",""canned beer"",""candy"",""chocolate marshmallow"",""butter"",""tropical fruit"",""other vegetables"",""chewing gum"",""frozen meals"",""yogurt"",""long life bakery product"",""margarine"""
58,16-06-2015,"""other vegetables"",""frankfurter"",""whole milk"",""sausage"",""whole milk"",""other vegetables"",""brown bread"",""onions"",""seasonal products"",""grapes"",""hard cheese"",""soda"",""fruit/vegetable juice"",""waffles"",""dental care"""
59,20-01-2015,"""sausage"",""meat"",""pork"",""ham"",""citrus fruit"",""pastry"",""butter"",""other vegetables"",""brown bread"",""processed cheese"",""specialty bar"",""frozen fish"",""canned beer"",""salty snack"""
60,20-03-2015,"""sausage"",""sausage"",""pip fruit"",""soda"",""bottled beer"",""frankfurter"",""butter"",""onions"",""hygiene articles"",""whole milk"",""bottled water"",""other vegetables"",""chicken"",""other vegetables"",""ice cream"",""soda"""
61,15-02-2015,"""frankfurter"",""bottled beer"",""whole milk"",""beef"",""grapes"",""canned beer"",""butter"",""fruit/vegetable juice"",""yogurt"",""semi-finished bread"""
62,13-04-2015,"""rolls/buns"",""pork"",""tropical fruit"",""onions"",""yogurt"",""butter"",""yogurt"",""tropical fruit"",""whole milk"",""soft cheese"",""herbs"",""rolls/buns"",""rolls/buns"""
63,07-02-2015,"""whole milk"",""pork"",""domestic eggs"",""frozen meals"",""meat"",""citrus fruit"",""sausage"",""other vegetables"",""beef"",""rolls/buns"",""rolls/buns"",""root vegetables"",""coffee"",""whipped/sour cream"",""butter"",""pot plants"",""frozen meals"",""long life bakery product"",""whole milk"",""sugar"",""frozen vegetables"",""fruit/vegetable juice"",""frozen vegetables"",""canned vegetables"""
64,02-03-2015,"""curd cheese"",""meat"",""other vegetables"",""whole milk"",""yogurt"",""herbs"",""bottled water"",""fruit/vegetable juice"",""mayonnaise"",""tea"",""zwieback"""
65,14-03-2015,"""red/blush wine"",""bottled beer"",""canned beer"",""bottled beer"",""curd cheese"",""yogurt"",""pip fruit"",""brown bread"",""whole milk"",""red/blush wine"",""bottled water"",""mustard"",""napkins"",""margarine"""
66,22-12-2015,"""sausage"",""whole milk"",""berries"",""whole milk"",""pastry"",""tropical fruit"",""whole milk"",""tropical fruit"",""seasonal products"",""misc. beverages"",""hygiene articles"",""soda"",""berries"",""long life bakery product"",""dish cleaner"",""specialty bar"",""domestic eggs"",""yogurt"",""fruit/vegetable juice"",""soda"",""coffee"",""bottled water"""
67,01-07-2015,"""tropical fruit"",""yogurt"",""pip fruit"",""yogurt"",""yogurt"""
68,03-11-2015,"""red/blush wine"",""canned beer"",""root vegetables"",""sausage"",""soft cheese"",""whole milk"",""dessert"",""other vegetables"",""other vegetables"",""soda"",""other vegetables"",""yogurt"",""whole milk"",""bottled water"",""soda"",""pastry"",""whole milk"",""canned beer"",""yogurt"",""bottled water"",""rolls/buns"""
69,14-04-2015,"""whole milk"",""root vegetables"",""specialty chocolate"",""bottled beer"",""frankfurter"",""soda"",""bottled beer"",""newspapers"",""canned beer"",""margarine"",""shopping bags"",""soda"",""bottled water"",""oil"",""domestic eggs"",""rolls/buns"",""shopping bags"""
70,29-09-2015,"""frankfurter"",""misc. beverages"",""butter"",""zwieback"",""other vegetables"",""whole milk"",""margarine"",""liquor"",""newspapers"",""bottled water"",""bottled water"""
71,12-04-2015,"""whole milk"",""frozen vegetables"",""rolls/buns"",""bottled beer"",""specialty cheese"",""domestic eggs"",""chewing gum"""
72,05-05-2015,"""frozen potato products"",""citrus fruit"",""flour"",""pastry"",""tropical fruit"",""bottled water"",""frankfurter"",""grapes"",""frankfurter"",""bottled beer"",""pip fruit"",""rolls/buns"",""brown bread"",""cream cheese "",""citrus fruit"",""red/blush wine"",""dessert"",""whole milk"",""roll products "",""grapes"",""other vegetables"",""cat food"",""chocolate"",""bottled beer"",""pickled vegetables"",""misc. beverages"",""frozen vegetables"",""detergent"",""salt"""
73,12-05-2015,"""other vegetables"",""whole milk"",""yogurt"",""curd"",""rolls/buns"",""hygiene articles"",""yogurt"",""hard cheese"",""shopping bags"",""margarine"",""frozen vegetables"",""skin care"",""bottled beer"""
74,01-07-2015,"""citrus fruit"",""root vegetables"",""tropical fruit"",""frankfurter"",""yogurt"",""bottled water"",""salty snack"",""white bread"",""processed cheese"",""newspapers"",""canned beer"",""yogurt"",""white wine"",""beverages"""
75,08-07-2015,"""flour"",""yogurt"",""pork"",""pork"",""yogurt"",""butter"",""whipped/sour cream"",""shopping bags"",""whipped/sour cream"",""brown bread"",""hard cheese"""
76,21-09-2015,"""sugar"",""beverages"",""rolls/buns"",""canned vegetables"",""whole milk"",""grapes"",""flour"",""sausage"",""white bread"",""bottled water"",""popcorn"",""rolls/buns"",""salty snack"""
77,10-12-2015,"""frozen meals"",""canned beer"",""canned beer"",""whole milk"",""chicken"",""frankfurter"",""whipped/sour cream"",""white bread"",""whole milk"",""domestic eggs"",""whole milk"",""flour"",""flour"",""bottled beer"",""sugar"""
78,30-09-2015,"""chocolate"",""newspapers"",""pork"",""pip fruit"",""soda"",""citrus fruit"",""oil"",""rolls/buns"",""whole milk"",""white bread"",""other vegetables"",""grapes"",""bottled water"",""UHT-milk"",""waffles"",""frozen vegetables"""
79,31-01-2015,"""root vegetables"",""finished products"",""fruit/vegetable juice"",""sausage"",""specialty vegetables"",""cream cheese "",""other vegetables"",""root vegetables"",""curd"",""yogurt"",""UHT-milk"",""pastry"""
80,13-12-2015,"""root vegetables"",""rolls/buns"",""whole milk"",""newspapers"",""whole milk"",""liquor"",""packaged fruit/vegetables"",""frozen vegetables"",""whole milk"",""whole milk"",""domestic eggs"",""specialty chocolate"",""hygiene articles"",""shopping bags"",""whipped/sour cream"",""seasonal products"",""domestic eggs"",""softener"""
81,18-09-2015,"""herbs"",""frankfurter"",""sausage"",""rolls/buns"",""pork"",""fruit/vegetable juice"",""beef"",""cat food"",""curd cheese"",""sugar"",""hard cheese"",""white wine"",""other vegetables"",""hard cheese"",""whole milk"",""other vegetables"",""yogurt"",""newspapers"",""soft cheese"",""rolls/buns"",""long life bakery product"",""UHT-milk"",""candy"""
82,04-03-2015,"""bottled water"",""butter"",""yogurt"",""chicken"",""processed cheese"",""whipped/sour cream"",""whole milk"",""whole milk"",""fruit/vegetable juice"",""rolls/buns"",""frozen vegetables"""
83,30-11-2015,"""sausage"",""bottled beer"",""coffee"",""whole milk"",""turkey"",""sausage"",""pip fruit"",""herbs"",""tropical fruit"",""grapes"",""packaged fruit/vegetables"",""spread cheese"",""chocolate"",""frozen vegetables"""
84,20-12-2015,"""coffee"",""root vegetables"",""fish"",""mayonnaise"",""other vegetables"",""sausage"",""sausage"",""ham"",""specialty chocolate"",""bottled water"",""rolls/buns"",""other vegetables"",""misc. beverages"",""whole milk"",""cream cheese "",""soda"",""mayonnaise"",""herbs"",""napkins"",""rolls/buns"",""flower (seeds)"",""Instant food products"""
85,04-08-2015,"""pork"",""pip fruit"",""tropical fruit"",""sausage"",""beverages"",""whole milk"",""grapes"",""chicken"",""frozen vegetables"",""condensed milk"""
86,06-11-2015,"""berries"",""whole milk"",""bottled beer"",""root vegetables"",""beef"",""root vegetables"",""whole milk"",""whipped/sour cream"""
87,18-02-2015,"""soda"",""yogurt"",""curd cheese"",""yogurt"",""coffee"",""root vegetables"",""rolls/buns"",""semi-finished bread"",""roll products "",""oil"""
88,22-07-2015,"""berries"",""chocolate"",""frankfurter"",""bottled water"",""beef"",""pastry"",""brown bread"",""root vegetables"",""butter"""
89,23-08-2015,"""fruit/vegetable juice"",""root vegetables"",""soda"",""sausage"",""hamburger meat"",""ham"",""white bread"",""whole milk"",""pasta"",""sugar"",""pip fruit"",""condensed milk"",""rolls/buns"",""bottled beer"",""rolls/buns"",""chewing gum"""
90,15-04-2015,"""citrus fruit"",""sausage"",""soda"",""beef"",""tropical fruit"",""white bread"",""salty snack"",""herbs"",""pork"",""oil"",""curd"",""other vegetables"",""curd"",""whole milk"",""softener"",""bottled water"",""Instant food products"""
91,26-01-2015,"""pork"",""rolls/buns"",""yogurt"",""yogurt"",""brown bread"",""other vegetables"""
92,29-12-2015,"""detergent"",""white wine"",""pork"",""misc. beverages"",""tropical fruit"",""frankfurter"",""chicken"",""long life bakery product"",""shopping bags"",""whole milk"",""cake bar"",""liquor"",""soft cheese"",""soda"",""fruit/vegetable juice"",""brown bread"",""cake bar"""
93,20-10-2015,"""grapes"",""sausage"",""chicken"",""butter"",""chicken"",""newspapers"",""whole milk"",""tropical fruit"",""pip fruit"",""spread cheese"",""whipped/sour cream"",""meat spreads"",""butter"""
94,17-08-2015,"""sausage"",""sausage"",""whole milk"",""cocoa drinks"",""frankfurter"",""pork"",""pip fruit"",""soda"",""shopping bags"",""root vegetables"",""other vegetables"",""beef"",""frozen meals"",""bottled water"",""bottled water"",""fruit/vegetable juice"",""root vegetables"",""berries"",""other vegetables"",""yogurt"",""specialty bar"",""misc. beverages"",""rolls/buns"",""sweet spreads"""
95,17-05-2015,"""chicken"",""pork"",""bottled beer"",""finished products"",""meat"",""whipped/sour cream"",""whole milk"",""fruit/vegetable juice"",""dishes"""
96,25-07-2015,"""whole milk"",""frozen fish"",""bottled beer"",""liver loaf"",""root vegetables"",""frankfurter"",""beef"",""brown bread"",""yogurt"",""tropical fruit"",""processed cheese"",""fruit/vegetable juice"",""curd"",""whipped/sour cream"",""mustard"",""brown bread"""
97,23-12-2015,"""citrus fruit"",""citrus fruit"",""frankfurter"",""chicken"",""citrus fruit"",""rolls/buns"",""bottled water"",""candy"",""chocolate"",""sugar"",""yogurt"""
98,12-12-2015,"""soda"",""frankfurter"",""soda"",""butter milk"",""sausage"",""citrus fruit"",""whole milk"",""butter milk"",""other vegetables"",""vinegar"""
99,11-09-2015,"""sausage"",""sausage"",""root vegetables"",""whole milk"",""whole milk"",""whole milk"",""bottled beer"",""detergent"",""butter"",""whole milk"",""rolls/buns"",""tropical fruit"",""rolls/buns"",""newspapers"",""cat food"",""yogurt"",""waffles"""
100,20-03-2015,"""frankfurter"",""soda"",""frankfurter"",""bottled beer"",""chicken"",""whole milk"",""oil"",""yogurt"",""hamburger meat"",""soda"",""yogurt"",""citrus fruit"",""whole milk"",""white bread"",""herbs"",""yogurt"",""newspapers"",""shopping bags"",""specialty chocolate"""
101,18-06-2015,"""sausage"",""sausage"",""citrus fruit"",""root vegetables"",""bottled water"",""whole milk"",""root vegetables"",""soda"",""pip fruit"",""citrus fruit"",""chocolate marshmallow"",""coffee"",""cream cheese "",""bottled water"",""sugar"",""bottled water"""
102,08-12-2015,"""soda"",""misc. beverages"",""whole milk"",""UHT-milk"",""pork"",""whole milk"",""spread cheese"",""sugar"",""soda"",""soda"",""oil"",""pickled vegetables"""
103,25-04-2015,"""rolls/buns"",""ice cream"",""cat food"",""sausage"",""hamburger meat"",""shopping bags"",""whole milk"",""curd"",""pip fruit"",""nuts/prunes"",""bottled beer"",""whipped/sour cream"",""shopping bags"",""brown bread"",""white bread"",""yogurt"",""newspapers"""
104,08-07-2015,"""beef"",""whole milk"",""bottled beer"",""citrus fruit"",""waffles"",""root vegetables"",""citrus fruit"",""citrus fruit"",""liver loaf"",""yogurt"",""whole milk"",""waffles"",""chewing gum"",""whole milk"",""coffee"",""shopping bags"""
105,14-05-2015,"""whole milk"",""citrus fruit"",""soda"",""yogurt"",""berries"",""margarine"",""butter"",""pip fruit"",""coffee"",""cream cheese "",""root vegetables"",""waffles"",""salty snack"",""fruit/vegetable juice"""
106,04-05-2015,"""processed cheese"",""whole milk"",""fish"",""whole milk"",""rolls/buns"",""margarine"",""canned beer"",""brown bread"",""chocolate"""
107,10-10-2015,"""tropical fruit"",""pork"",""coffee"",""soda"",""onions"",""sliced cheese"""
108,03-04-2015,"""frankfurter"",""whole milk"",""berries"",""tropical fruit"",""specialty bar"",""rolls/buns"""
109,11-06-2015,"""packaged fruit/vegetables"",""bottled water"",""yogurt"",""pickled vegetables"",""pork"",""domestic eggs"",""shopping bags"",""flour"""
110,30-10-2015,"""whole milk"",""grapes"",""beef"",""frankfurter"",""chocolate"",""pastry"",""turkey"",""turkey"",""packaged fruit/vegetables"",""cream cheese "",""rolls/buns"",""meat spreads"",""specialty bar"",""canned beer"",""brown bread"",""pastry"",""curd"",""kitchen towels"",""long life bakery product"",""UHT-milk"",""rolls/buns"",""sugar"",""domestic eggs"",""long life bakery product"""
111,23-05-2015,"""berries"",""bottled water"",""hamburger meat"",""specialty bar"",""fruit/vegetable juice"",""whole milk"",""cream cheese "",""tropical fruit"",""white bread"",""chewing gum"",""tropical fruit"",""whipped/sour cream"",""whipped/sour cream"",""root vegetables"",""bottled water"",""napkins"",""soda"""
112,05-06-2015,"""citrus fruit"",""tropical fruit"",""specialty chocolate"",""citrus fruit"",""whole milk"",""pip fruit"",""chocolate"",""yogurt"",""whole milk"",""pip fruit"",""soda"",""canned beer"",""other vegetables"",""brown bread"""
113,07-11-2015,"""tropical fruit"",""other vegetables"",""grapes"",""pastry"",""beef"",""whole milk"",""finished products"",""chocolate marshmallow"",""beef"",""grapes"",""yogurt"",""rolls/buns"",""red/blush wine"",""sliced cheese"",""chocolate"",""bottled beer"",""newspapers"",""brown bread"",""pasta"",""frozen dessert"",""pastry"""
114,04-09-2015,"""hamburger meat"",""sausage"",""chicken"",""newspapers"",""butter"",""butter"",""rolls/buns"",""rolls/buns"""
115,18-05-2015,"""hamburger meat"",""hygiene articles"",""butter"",""UHT-milk"",""canned fish"",""meat spreads"",""pork"",""soda"",""tropical fruit"",""citrus fruit"",""specialty cheese"",""salty snack"",""shopping bags"",""napkins"""
116,26-03-2015,"""whole milk"",""yogurt"",""whole milk"",""pork"",""rolls/buns"",""frozen vegetables"",""chocolate marshmallow"",""yogurt"",""rolls/buns"""
117,23-06-2015,"""fish"",""root vegetables"",""tropical fruit"",""other vegetables"""
118,10-08-2015,"""frankfurter"",""sausage"",""chicken"",""other vegetables"",""processed cheese"",""bottled water"",""dessert"",""soda"""
119,23-07-2015,"""packaged fruit/vegetables"",""pip fruit"",""root vegetables"",""dessert"",""pip fruit"",""root vegetables"",""tropical fruit"",""sliced cheese"",""white wine"",""pip fruit"",""mustard"",""tidbits"",""salty snack"",""frozen fruits"",""whipped/sour cream"",""shopping bags"",""white bread"""
120,01-06-2015,"""pastry"",""zwieback"",""pip fruit"",""berries"",""rolls/buns"",""onions"",""yogurt"",""sliced cheese"",""female sanitary products"""
121,15-05-2015,"""other vegetables"",""berries"",""pip fruit"",""UHT-milk"",""white bread"",""herbs"""
